customer_id,Q01,Q02_1,Q02_2,Q02_3,Q02_4,Q02_5,Q02_6,Q02_7,Q03_1,Q03_2,Q03_3,Q03_4,Q03_5,Q03_6,Q03_7,Q04_1,Q04_2,Q04_3,Q04_4,Q04_5,Q04_6,Q04_7,Q04_8,Q04_9,Q04_10,Q05,Q06,Q07_1,Q07_2,Q07_3,Q07_4,Q07_5,Q07_6,Q07_7,Q07_8,Q07_9,Q07_10,Q08
157,18 - 24,No,No,No,Yes,No,Yes,No,1,4,2,2,4,1,4,5,2,3,4,5,3,3,3,2,4,5,4,4,4,3,3,1,2,1,1,1,1,2
501,25 - 34,Yes,No,No,No,Yes,Yes,No,5,5,1,4,2,4,2,2,4,5,4,5,4,1,5,1,2,6,2,5,5,1,5,3,1,1,5,5,1,1
84,50 +,No,No,No,No,Yes,Yes,No,2,3,5,2,4,5,4,3,3,3,5,5,5,5,1,4,4,9,4,3,3,1,1,1,4,1,1,4,1,4
83,18 - 24,No,No,No,No,Yes,No,No,3,3,3,1,3,2,1,3,5,5,1,5,1,1,2,2,1,2,4,2,2,1,5,3,5,2,3,1,1,4
240,25 - 34,Yes,No,Yes,Yes,No,No,No,3,3,3,5,2,5,5,4,5,4,4,3,3,4,5,2,5,6,5,4,1,2,3,1,1,2,1,4,1,2
493,18 - 24,No,No,No,No,No,No,No,4,2,2,5,4,1,3,4,5,2,5,3,1,4,5,1,1,0,2,5,4,2,5,3,2,2,2,2,1,4
190,18 - 24,Yes,No,No,No,No,Yes,No,3,3,4,3,5,4,3,1,4,3,2,3,5,5,2,1,3,0,1,1,2,2,4,2,2,2,1,3,1,4
410,18 - 24,No,No,No,No,Yes,No,No,4,3,1,3,4,3,1,2,5,5,5,5,3,5,1,1,5,2,1,5,2,2,2,1,2,2,4,1,1,3
110,50 +,No,No,No,No,Yes,No,No,1,1,3,1,5,1,1,3,3,4,5,5,4,1,2,2,4,0,4,1,4,2,1,1,3,2,5,4,1,5
43,25 - 34,No,No,No,No,Yes,Yes,No,3,3,3,4,5,1,3,4,5,4,4,4,4,5,4,4,5,8,2,1,3,2,4,1,3,2,4,3,1,1
334,35 - 44,No,No,No,No,No,Yes,Yes,4,2,1,5,3,2,5,3,3,3,1,5,2,3,2,2,2,0,5,4,4,2,4,3,3,2,2,4,1,5
189,18 - 24,Yes,No,No,No,No,Yes,No,1,4,3,3,5,4,3,2,5,3,4,4,5,4,3,1,5,1,5,2,2,3,4,3,4,2,1,3,1,5
389,18 - 24,No,No,Yes,No,Yes,No,No,5,2,2,3,5,2,3,2,3,3,5,4,5,1,5,1,4,7,3,2,4,3,4,3,2,2,1,2,1,2
140,35 - 44,No,No,No,No,Yes,No,Yes,5,3,3,2,3,4,3,2,3,5,4,5,3,3,3,3,3,3,4,4,2,3,5,3,1,2,4,4,1,4
399,50 +,No,No,No,No,Yes,No,No,3,1,2,3,4,3,5,3,2,3,5,4,4,1,4,5,2,6,4,3,1,5,4,3,3,2,3,1,1,4
487,18 - 24,No,No,No,No,No,No,Yes,3,5,1,1,2,2,4,3,4,5,5,4,1,2,4,2,4,4,3,1,3,3,2,3,1,2,5,2,1,3
387,18 - 24,No,No,Yes,No,No,No,Yes,5,5,5,4,5,1,5,1,3,4,2,4,3,5,3,5,1,8,4,1,2,1,2,3,3,2,3,4,1,3
222,45 - 49,No,No,No,No,Yes,Yes,Yes,2,1,4,1,5,4,2,5,4,5,5,5,2,4,4,2,2,4,2,5,5,3,2,3,5,2,2,2,1,2
339,35 - 44,No,No,No,No,No,No,No,3,2,2,4,4,2,1,4,5,1,3,5,1,5,3,5,5,0,1,2,5,5,5,2,3,2,1,3,1,1
479,18 - 24,No,No,Yes,No,No,No,Yes,2,5,4,1,4,2,1,3,1,3,2,3,3,1,1,3,2,0,1,3,1,1,4,2,3,3,2,3,1,1
281,35 - 44,No,No,No,No,No,No,No,3,1,5,5,5,3,5,3,3,5,2,5,2,4,1,1,2,1,2,5,2,1,4,1,5,3,4,1,1,3
357,45 - 49,No,No,No,No,No,Yes,No,3,5,5,5,2,3,2,2,1,5,3,5,2,3,1,4,2,8,3,4,4,1,4,3,4,3,5,2,1,2
321,25 - 34,No,No,No,No,No,Yes,No,1,2,3,4,3,4,5,4,4,4,4,5,4,4,3,1,1,7,1,2,2,1,1,3,2,3,4,4,1,2
363,18 - 24,No,No,Yes,No,No,Yes,Yes,3,4,3,4,2,1,2,3,4,4,4,2,4,4,1,1,4,8,5,4,4,2,3,2,5,3,4,2,1,1
423,50 +,No,No,No,No,Yes,No,No,4,4,2,4,5,3,3,5,5,3,2,4,3,1,5,4,1,6,3,5,4,2,5,3,3,3,2,3,1,2
377,45 - 49,No,No,No,Yes,Yes,Yes,Yes,5,2,1,1,4,4,3,5,2,3,5,4,1,5,5,5,1,9,1,4,3,2,2,1,5,3,1,4,1,3
123,18 - 24,No,Yes,Yes,No,No,Yes,Yes,4,3,1,2,4,4,2,3,3,2,1,5,3,4,5,2,2,2,5,3,2,2,5,3,2,3,1,2,1,1
296,35 - 44,No,No,No,No,Yes,No,No,5,4,1,4,5,4,2,3,1,4,5,4,5,5,3,1,4,4,1,3,1,2,1,2,1,3,3,4,1,4
409,35 - 44,No,No,No,No,Yes,No,No,3,4,3,1,5,1,2,1,3,4,5,4,4,5,4,5,5,10,1,1,3,2,3,1,3,3,1,4,1,3
322,35 - 44,No,No,Yes,No,No,No,Yes,2,3,1,3,4,5,5,1,3,3,5,3,5,4,3,2,5,7,3,2,1,3,1,2,5,3,3,3,1,4
260,35 - 44,No,No,No,No,Yes,No,No,2,3,2,1,3,1,3,5,5,5,4,3,1,4,4,5,1,3,4,5,5,3,3,3,3,3,2,5,1,3
103,18 - 24,No,No,No,No,Yes,Yes,No,5,2,1,1,2,2,3,3,5,4,1,2,3,5,2,5,2,2,3,3,1,3,4,3,2,3,4,5,1,1
13,18 - 24,No,No,No,No,No,Yes,No,3,3,2,4,3,3,2,2,1,4,1,3,3,4,2,2,5,0,1,3,5,3,1,2,2,3,1,1,1,1
480,25 - 34,No,No,Yes,No,No,No,No,5,1,4,5,3,5,2,3,5,3,5,4,5,5,1,3,5,9,3,3,1,3,5,1,3,3,4,3,1,2
210,50 +,No,No,No,No,No,Yes,No,5,1,2,4,1,1,4,4,4,5,4,5,3,3,4,4,1,5,1,2,2,3,5,2,1,3,2,1,1,2
429,18 - 24,No,No,No,No,Yes,No,No,1,2,1,5,1,3,5,1,3,3,4,4,3,4,2,5,1,8,2,1,1,3,1,1,1,3,4,4,1,3
456,18 - 24,No,Yes,Yes,Yes,Yes,Yes,Yes,3,2,5,1,1,2,5,5,2,3,4,5,2,4,4,5,4,1,3,4,1,3,3,3,5,3,4,1,1,3
324,25 - 34,No,No,Yes,No,No,No,Yes,1,1,5,2,2,5,1,4,4,5,5,5,2,4,3,5,5,9,5,3,1,3,1,4,5,3,3,3,1,2
135,18 - 24,No,No,No,No,Yes,No,No,1,3,5,3,3,1,2,4,5,5,5,4,1,5,1,1,2,1,3,4,5,3,5,1,2,3,2,4,1,5
217,50 +,Yes,No,No,No,No,No,No,5,4,5,1,3,5,5,4,3,1,4,1,1,2,4,1,5,6,1,3,3,5,4,3,1,3,4,4,1,4
113,45 - 49,No,No,No,No,Yes,No,Yes,5,1,3,3,3,5,2,2,4,3,4,5,4,5,3,3,3,4,1,3,5,5,2,3,4,3,1,3,1,1
104,45 - 49,No,No,No,No,Yes,Yes,Yes,1,5,2,3,1,3,3,4,3,4,4,3,3,1,4,2,4,0,1,2,5,2,1,2,5,3,5,5,1,5
278,50 +,No,No,No,No,Yes,No,No,3,2,2,2,4,3,5,1,5,3,4,3,5,2,2,3,4,9,3,2,5,1,2,1,5,3,2,3,1,1
166,18 - 24,No,No,No,Yes,No,No,No,4,4,4,4,4,5,4,3,5,1,4,2,3,5,3,5,2,8,3,2,2,1,4,2,2,2,2,5,1,4
119,50 +,No,No,Yes,No,Yes,No,No,3,1,5,3,4,4,5,2,3,5,2,3,4,4,2,4,3,7,2,1,2,2,1,2,2,4,3,4,1,5
280,25 - 34,No,No,No,Yes,No,Yes,No,2,1,2,5,5,2,2,1,5,1,4,1,3,4,5,4,5,0,5,1,2,3,5,3,5,4,3,3,1,1
186,18 - 24,Yes,No,Yes,No,Yes,No,No,5,1,2,2,1,2,1,4,4,5,2,3,2,3,2,1,3,4,1,2,3,3,1,3,2,3,1,4,1,1
408,18 - 24,No,No,No,No,Yes,No,Yes,3,2,3,2,5,1,2,1,5,4,5,5,2,2,2,1,5,1,3,1,1,3,4,2,5,4,5,2,1,3
503,18 - 24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,1,2,5,2,4,3,3,4,5,5,2,5,5,4,3,9,3,3,4,3,3,2,2,5,5,4,1,1
62,45 - 49,No,No,No,No,No,Yes,Yes,2,1,2,1,2,4,2,1,4,3,1,3,2,1,2,4,1,8,1,4,5,5,3,3,3,3,4,4,1,2
496,50 +,No,No,No,No,No,No,No,2,5,2,5,3,1,1,4,4,2,4,5,5,3,1,5,3,0,4,4,4,3,3,1,3,4,3,2,1,2
453,18 - 24,No,No,No,No,Yes,No,Yes,2,3,1,1,4,1,5,2,3,4,3,4,1,5,1,4,5,7,5,3,2,5,5,4,4,5,2,3,1,3
152,18 - 24,No,No,No,Yes,No,Yes,No,3,5,1,1,1,5,3,5,5,4,5,4,4,5,1,5,3,7,2,5,1,1,4,1,3,3,5,3,1,3
309,18 - 24,No,No,No,No,No,No,No,2,5,5,2,5,5,5,4,5,4,4,1,3,1,4,1,2,6,5,2,3,5,3,1,1,5,5,1,1,2
67,18 - 24,No,No,No,No,Yes,Yes,No,3,5,5,2,3,3,2,4,3,3,2,4,3,3,5,3,3,7,4,1,3,5,3,1,1,1,5,3,1,1
402,35 - 44,No,No,Yes,Yes,No,No,No,1,4,1,1,5,5,5,1,5,4,5,3,2,5,1,3,3,1,3,1,1,5,5,2,5,4,4,2,1,5
414,45 - 49,No,No,No,No,No,Yes,No,1,3,2,5,3,3,1,1,4,2,5,5,1,3,5,4,2,9,2,4,5,5,3,1,2,3,3,2,1,3
497,25 - 34,No,No,No,No,Yes,No,No,5,4,2,5,3,1,3,4,1,3,4,5,2,1,5,4,5,5,4,1,1,3,2,1,4,2,1,4,1,3
34,35 - 44,No,No,No,No,Yes,No,No,4,4,2,4,4,1,1,3,4,4,5,1,4,3,2,2,1,3,2,1,2,1,3,1,1,3,2,4,1,4
378,18 - 24,No,No,No,No,No,No,No,2,4,1,3,1,3,5,2,5,4,4,4,2,3,2,3,4,3,4,5,4,1,1,2,5,4,4,4,1,4
181,50 +,Yes,No,No,No,Yes,No,Yes,5,2,2,4,3,5,2,2,4,4,2,5,5,4,3,5,4,4,3,4,2,1,1,1,5,4,4,1,1,5
32,25 - 34,No,No,No,No,No,No,No,5,3,3,5,1,1,4,1,2,5,3,5,4,5,5,5,5,5,1,2,2,1,1,2,1,1,4,3,1,1
338,45 - 49,No,No,No,No,No,Yes,No,2,2,5,3,5,1,5,2,3,3,2,5,5,3,5,5,5,8,1,5,4,2,4,4,5,4,5,1,1,4
418,50 +,No,No,No,No,Yes,Yes,Yes,4,1,5,3,5,4,2,4,3,4,5,3,2,4,4,2,5,8,4,3,2,3,2,3,2,4,4,2,1,3
76,18 - 24,Yes,No,No,No,Yes,No,No,1,3,4,4,2,5,5,5,4,3,4,5,4,5,3,1,4,9,4,4,4,3,5,1,4,2,5,3,1,3
471,50 +,No,No,No,No,No,No,No,5,5,1,2,1,3,5,1,4,3,3,5,3,1,5,3,3,7,2,1,4,3,3,3,1,4,3,1,1,4
421,35 - 44,No,No,No,No,Yes,No,No,4,4,2,2,3,2,5,5,3,3,3,4,2,5,4,4,4,8,5,1,2,3,4,3,5,2,4,4,1,5
23,18 - 24,No,No,No,No,Yes,Yes,No,5,5,3,3,4,3,5,5,3,4,5,4,1,4,2,5,4,6,2,2,4,5,3,4,4,5,1,5,1,5
349,35 - 44,No,No,No,No,Yes,No,No,2,3,4,5,2,4,5,3,5,5,4,5,4,5,1,4,3,3,4,5,3,3,1,1,4,3,1,4,1,5
305,45 - 49,No,No,No,No,No,Yes,No,1,2,2,4,2,3,5,5,4,3,1,5,1,2,4,4,4,9,3,4,2,1,2,2,1,3,3,2,1,3
502,35 - 44,No,No,No,Yes,Yes,No,No,5,3,4,2,3,1,5,1,4,3,1,3,3,2,3,4,4,8,2,3,4,5,3,1,1,4,3,3,1,5
267,25 - 34,No,No,No,Yes,Yes,No,No,3,4,1,5,4,3,5,1,4,4,4,5,1,4,5,4,2,6,3,2,5,3,3,1,5,2,1,3,1,3
478,18 - 24,No,No,Yes,No,No,No,Yes,3,1,4,1,3,3,5,1,5,4,3,3,2,4,4,3,4,8,2,5,4,1,1,1,1,1,3,1,2,1
126,35 - 44,No,No,No,No,Yes,No,No,1,2,1,1,5,5,4,2,3,5,5,5,2,1,1,2,1,6,4,3,5,1,3,2,3,1,1,2,2,1
19,50 +,No,No,Yes,No,Yes,No,No,4,3,2,4,1,5,1,5,3,5,5,5,5,1,5,3,2,5,5,2,3,1,1,1,5,1,4,1,2,3
4,25 - 34,No,No,No,No,Yes,Yes,No,3,1,4,2,1,3,2,4,3,2,1,4,1,2,5,2,4,8,4,1,3,1,2,4,1,1,5,4,2,2
464,50 +,No,No,No,No,Yes,Yes,No,5,5,5,5,3,3,1,5,5,5,4,5,5,4,3,1,1,5,5,1,5,1,3,5,4,1,1,1,2,5
202,50 +,Yes,No,No,No,No,No,Yes,4,2,1,4,1,1,5,3,3,3,2,5,3,5,5,4,3,5,3,5,4,1,3,4,5,1,5,1,2,4
411,45 - 49,No,No,No,No,No,Yes,No,3,3,5,4,2,5,1,2,1,4,5,3,2,4,5,2,2,7,5,1,3,2,3,3,1,1,4,2,2,1
298,18 - 24,No,No,No,No,Yes,No,No,3,5,4,1,1,3,3,3,5,3,4,3,2,2,3,2,5,5,2,5,5,2,2,1,4,1,1,5,2,4
137,50 +,No,No,No,No,Yes,No,Yes,3,1,4,1,1,1,3,3,4,5,5,3,1,5,5,4,2,3,5,1,1,2,5,3,5,1,1,2,2,4
167,25 - 34,No,No,No,Yes,No,No,Yes,3,1,1,1,1,2,3,1,2,5,3,5,5,3,3,2,5,8,5,5,2,2,3,4,2,1,4,2,2,4
277,35 - 44,Yes,No,No,No,No,No,No,2,4,3,4,4,2,3,2,3,5,3,5,2,1,5,3,4,7,1,1,2,3,5,2,2,1,4,2,2,2
302,35 - 44,No,No,No,No,Yes,No,No,4,3,4,5,2,3,4,3,3,4,2,3,2,3,1,3,2,6,1,2,5,3,3,3,5,1,3,3,2,2
124,35 - 44,No,No,No,No,No,No,No,3,5,1,5,4,5,2,1,3,5,3,2,4,4,2,4,1,10,1,2,5,3,5,2,5,1,1,2,2,4
253,35 - 44,No,No,No,No,Yes,No,No,4,4,4,2,3,2,2,2,1,2,1,3,1,1,4,5,3,1,5,4,1,3,1,1,2,1,1,1,2,1
451,18 - 24,No,No,No,No,Yes,No,Yes,5,2,4,3,4,2,4,4,3,5,4,3,4,5,1,3,3,4,5,4,5,3,1,1,2,1,3,5,2,4
394,18 - 24,No,No,No,No,Yes,No,No,3,5,3,4,4,3,3,4,3,4,5,5,2,5,1,5,2,2,1,3,1,3,2,1,4,1,4,3,2,4
343,35 - 44,No,No,No,No,Yes,No,No,3,5,2,5,4,2,1,4,5,4,3,4,1,3,1,2,1,8,3,1,5,3,3,3,5,1,4,1,2,5
111,45 - 49,No,No,No,No,Yes,Yes,Yes,3,1,3,2,5,4,4,2,4,4,5,5,1,3,4,4,2,3,1,3,5,3,3,3,2,1,1,4,2,4
360,18 - 24,No,No,No,No,No,No,Yes,2,5,1,1,4,2,4,2,5,4,4,4,3,5,5,4,2,6,5,2,2,3,5,5,5,1,5,1,2,3
66,45 - 49,No,No,No,No,Yes,Yes,Yes,5,1,3,3,2,2,3,4,1,5,5,5,3,5,5,2,3,3,5,1,3,3,5,3,4,1,5,2,2,1
336,25 - 34,No,No,No,No,No,No,Yes,1,5,1,5,2,5,3,2,3,2,5,4,2,1,5,2,4,7,3,4,1,4,2,3,3,1,3,1,2,3
293,35 - 44,No,No,No,No,Yes,No,No,1,3,4,2,3,5,4,1,4,3,2,5,4,3,3,5,1,9,4,5,1,2,1,4,5,1,1,2,2,5
346,25 - 34,No,No,No,No,Yes,No,Yes,5,1,5,3,4,1,2,1,5,4,4,4,1,4,2,4,2,2,2,2,1,3,4,5,3,1,2,1,2,5
188,18 - 24,Yes,No,No,No,No,No,No,2,2,5,4,4,3,3,5,5,5,2,5,2,5,3,2,4,10,4,2,3,4,5,3,4,1,2,4,2,4
20,18 - 24,No,No,Yes,No,Yes,Yes,No,5,1,4,2,2,1,1,3,1,4,5,4,2,1,3,3,1,6,1,1,4,4,3,1,3,1,1,2,2,1
185,18 - 24,Yes,No,Yes,No,Yes,Yes,No,3,1,4,2,1,2,3,3,4,3,1,4,5,2,2,1,5,4,5,3,5,4,1,3,4,1,2,1,2,4
107,18 - 24,Yes,No,Yes,Yes,Yes,Yes,Yes,4,3,5,5,3,3,1,4,3,3,4,4,4,4,1,4,3,3,2,5,3,3,5,2,5,1,4,1,2,4
77,35 - 44,No,No,Yes,No,Yes,No,No,5,5,3,3,4,2,5,1,4,5,4,5,1,4,1,4,2,6,5,1,1,1,1,3,4,2,2,4,2,4
372,25 - 34,No,No,No,No,No,No,Yes,3,5,2,4,4,5,1,3,5,5,4,4,5,4,3,2,4,5,5,2,5,1,2,1,5,2,1,5,2,5
407,35 - 44,No,No,No,No,No,No,No,3,2,2,3,4,3,5,5,5,5,1,5,4,3,5,5,1,4,3,3,1,1,4,3,1,2,1,1,2,4
310,18 - 24,No,No,No,No,No,Yes,Yes,4,5,5,1,2,2,4,1,4,5,5,3,3,4,2,1,3,2,1,4,3,2,3,1,3,2,1,3,2,1
132,18 - 24,No,No,No,No,Yes,No,No,1,5,2,5,1,2,5,2,3,5,4,4,2,3,2,5,3,9,2,5,3,2,3,3,5,2,3,3,2,5
440,18 - 24,No,No,No,No,Yes,No,Yes,3,2,3,4,4,5,5,2,3,4,5,4,3,5,3,1,3,10,2,1,2,2,3,5,4,2,5,4,2,1
342,18 - 24,No,No,No,No,Yes,No,Yes,5,5,4,5,3,4,5,3,2,5,5,4,5,2,4,2,2,3,1,5,5,3,4,2,4,2,4,4,2,5
384,50 +,No,No,Yes,No,No,No,No,3,2,5,2,5,3,1,2,4,5,5,5,4,1,3,1,3,6,5,4,2,3,4,3,3,2,4,2,2,4
416,25 - 34,No,No,No,No,Yes,No,Yes,2,3,1,3,5,3,5,1,4,5,4,5,2,3,3,3,2,9,5,1,4,3,5,3,2,2,2,2,2,1
74,18 - 24,Yes,No,No,No,Yes,No,No,2,1,1,5,4,4,2,5,4,4,4,4,5,5,4,5,2,2,5,5,5,3,4,1,5,2,1,2,2,3
273,25 - 34,No,No,No,No,Yes,No,No,5,4,3,2,4,1,1,3,4,4,2,4,3,4,3,2,4,10,3,5,1,3,1,1,3,2,4,1,2,4
164,18 - 24,No,No,No,No,Yes,Yes,Yes,4,4,4,2,4,2,3,1,5,5,5,4,5,5,2,2,2,3,1,4,4,3,5,5,1,2,2,1,2,3
38,45 - 49,Yes,No,No,No,No,Yes,Yes,3,1,4,3,2,4,1,1,4,4,4,3,2,2,1,1,1,8,5,2,2,4,5,3,5,2,3,4,2,5
81,50 +,No,No,Yes,No,Yes,No,No,3,3,3,4,4,4,2,5,4,5,3,4,5,2,5,5,2,7,5,3,3,3,3,2,3,2,2,1,2,5
276,35 - 44,No,No,No,No,No,No,No,4,1,1,3,2,4,3,3,3,5,4,4,1,1,3,1,1,8,5,1,4,3,2,2,5,2,3,3,2,1
376,50 +,No,No,No,No,Yes,Yes,No,5,5,5,3,5,1,3,5,5,2,5,5,4,5,5,4,5,8,3,5,5,1,5,1,5,3,4,4,2,2
494,25 - 34,No,No,No,No,No,No,No,4,5,1,5,4,2,5,2,2,4,3,4,5,1,1,3,5,7,5,5,2,1,1,4,5,3,4,5,2,3
331,18 - 24,No,No,No,No,No,No,Yes,4,1,2,2,1,5,3,1,5,4,1,1,5,5,4,4,4,5,5,1,3,2,5,1,2,3,3,4,2,2
208,35 - 44,Yes,No,No,No,No,No,Yes,2,4,2,3,1,4,2,4,3,3,4,5,2,4,4,3,3,1,2,2,2,2,3,2,5,3,3,1,2,1
85,18 - 24,No,No,No,Yes,No,Yes,No,1,1,4,2,3,5,3,5,5,5,4,3,2,1,3,5,2,8,1,4,2,2,1,3,4,3,5,3,2,1
468,50 +,No,No,No,No,Yes,Yes,No,5,5,5,4,4,1,3,5,3,4,5,3,1,1,2,4,5,1,5,5,2,2,1,1,4,3,1,2,2,2
295,50 +,No,No,No,No,Yes,No,No,2,1,5,3,5,2,5,5,2,5,5,5,1,3,1,5,1,1,3,2,5,2,2,1,2,3,4,3,2,5
483,35 - 44,No,No,Yes,No,No,No,No,2,5,2,5,1,1,3,2,4,5,5,4,5,4,1,4,2,7,2,5,3,2,4,5,4,3,3,3,2,3
393,18 - 24,No,No,No,No,Yes,No,No,3,2,2,3,4,4,4,4,5,4,5,4,1,2,4,4,3,0,5,5,1,3,5,4,5,3,1,5,2,1
144,18 - 24,No,No,No,No,Yes,Yes,No,2,4,5,2,3,2,3,1,4,4,5,5,5,1,4,1,3,4,3,2,1,3,3,3,5,3,4,3,2,1
438,18 - 24,No,No,No,No,Yes,No,No,3,4,3,1,1,1,4,3,5,3,4,4,2,4,5,3,4,8,3,4,3,3,5,2,2,3,3,2,2,4
143,18 - 24,No,No,No,No,Yes,No,No,5,1,2,4,4,2,4,2,5,5,5,4,2,5,2,3,3,8,3,4,4,3,4,3,4,3,5,4,2,3
450,35 - 44,No,No,No,No,No,Yes,No,2,5,5,2,4,5,2,5,1,4,2,5,1,5,3,4,1,5,4,3,4,3,2,3,3,3,1,2,2,2
442,50 +,No,No,No,No,Yes,No,No,5,2,4,5,2,1,1,2,4,3,1,4,1,4,1,5,1,6,4,5,3,5,1,1,2,3,5,1,2,3
304,35 - 44,No,No,No,No,Yes,No,No,3,4,3,4,5,5,3,3,5,4,3,2,2,5,1,1,3,7,1,3,1,4,4,3,1,3,1,2,2,3
374,50 +,No,No,No,No,No,No,No,2,4,1,2,2,3,5,5,3,4,4,4,3,3,3,3,3,1,4,2,3,5,1,1,2,3,3,1,2,3
121,25 - 34,No,No,No,No,Yes,Yes,No,3,1,2,3,4,1,1,3,4,4,3,5,3,5,1,3,3,4,4,4,1,5,5,3,4,3,3,5,2,4
294,18 - 24,No,No,No,No,Yes,Yes,No,4,1,3,5,4,5,4,5,5,3,5,3,3,2,2,4,1,7,3,4,4,2,1,2,3,3,1,1,2,2
427,35 - 44,No,No,No,No,Yes,No,No,4,2,4,5,1,4,4,5,5,5,4,5,5,3,4,1,5,7,2,5,1,4,1,3,4,3,5,3,2,2
475,35 - 44,No,No,No,No,No,No,No,4,5,5,1,1,4,1,5,4,5,3,5,1,1,1,1,3,3,3,3,4,5,4,1,3,3,5,5,2,4
250,18 - 24,No,No,No,No,Yes,Yes,No,4,4,4,2,5,1,4,1,5,3,3,3,5,1,1,4,4,4,4,3,1,1,2,1,5,4,3,5,2,2
499,35 - 44,No,No,No,No,No,No,No,1,5,5,4,5,1,1,5,1,3,5,4,5,4,1,5,3,6,5,3,4,1,5,5,2,5,5,3,2,5
473,45 - 49,No,No,No,No,No,No,No,1,3,2,3,1,3,2,5,5,4,5,4,3,3,1,3,1,7,4,4,1,2,2,1,4,3,1,2,2,2
39,50 +,Yes,No,No,No,No,No,No,4,1,2,1,3,3,5,3,4,3,4,5,3,1,3,1,5,4,2,2,3,3,2,1,1,3,4,1,2,4
325,25 - 34,No,No,No,No,Yes,Yes,No,5,1,2,3,1,3,3,4,4,4,4,3,1,2,5,3,4,7,4,5,1,3,2,3,1,1,5,1,2,5
